scope,num_questions,avg_response_match,avg_response_match_normalized,avg_score_difference,avg_score_abs_difference,avg_cosine_similarity_minilm,avg_cosine_similarity_sbert,avg_tfidf_similarity,avg_jaccard_similarity,avg_bleu_score,avg_rouge_l_f1,avg_confidence
Austria,15,0.7333333333333333,0.7333333333333333,-2.0,4.666666666666667,0.7029172309807369,0.775797426700592,0.43915075599113823,0.1156635128355383,0.034177779858337386,0.13088931029553644,49.09666666666667
Belgium,15,0.7333333333333333,0.7333333333333333,-1.6666666666666667,4.333333333333333,0.4662292152643204,0.5327086789267403,0.23864447864597965,0.06598740416425881,0.0071294487706864435,0.06842014287806257,44.35999999999999
Bulgaria,15,0.6666666666666666,0.7333333333333333,2.6666666666666665,5.333333333333333,0.6621318184412442,0.6971477338900933,0.4097886321588694,0.12812344541868553,0.026757584528775212,0.15058365501058307,59.64
Estonia,15,0.8,0.8,-3.0,3.0,0.6241272825461167,0.6565054001716467,0.3445607811327548,0.08922712431393601,0.009863292312926349,0.10010949608375787,55.36666666666667
France,15,0.8,0.8,-3.3333333333333335,3.3333333333333335,0.7747768291405269,0.8170410394668579,0.48910091600262967,0.1516496808553905,0.05081105175771912,0.16343382914448418,50.1
Germany,15,0.8,0.8,-1.3333333333333333,4.0,0.6958968128476825,0.7237147901739392,0.4143026979113739,0.11596657135270774,0.02524078146819637,0.13736324692970592,61.29666666666666
