scope,num_questions,avg_response_match,avg_response_match_normalized,avg_score_difference,avg_score_abs_difference,avg_cosine_similarity_minilm,avg_cosine_similarity_sbert,avg_tfidf_similarity,avg_jaccard_similarity,avg_bleu_score,avg_rouge_l_f1,avg_confidence
Austria,15,0.3333333333333333,0.6666666666666666,-3.5714285714285716,3.5714285714285716,0.6656009331345558,0.7222395347697395,0.2544395453320857,0.11907967778983554,0.013758594691213806,0.1384166331304308,1.0933333333333335
Belgium,15,0.5333333333333333,0.6,-3.0,5.666666666666667,0.43713783259902683,0.5172811150550842,0.14344245191165914,0.08106483869334465,0.009255517679852306,0.09602243479778413,1.0533333333333335
Bulgaria,15,0.3333333333333333,0.4666666666666667,-5.714285714285714,11.428571428571429,0.645984594638531,0.6611618445469782,0.28146251037303865,0.1215984890157938,0.013756669204114527,0.12634330380630177,1.26
Estonia,15,0.6666666666666666,0.6666666666666666,-5.666666666666667,5.666666666666667,0.5733481966532193,0.5953580662608147,0.2414810242878421,0.10639181827710857,0.01093448037560946,0.12506395834839215,0.7200000000000001
France,15,0.0,0.8666666666666667,-1.6666666666666667,1.6666666666666667,0.7521971804755074,0.788487549339022,0.40586512976696654,0.12527655541711016,0.007156757716784584,0.13620197834862482,0.9533333333333335
Germany,15,0.4,0.8666666666666667,1.4285714285714286,1.4285714285714286,0.6419321043150765,0.6962581319468362,0.2702923603764879,0.10516311662302626,0.008062256494157217,0.1221536228202769,1.2300000000000002
